participant_id,participant,experiment,exp_group,sex,age,stimulus,logdice,stim_code,source_code,source_type,is_drm,response,accuracy,rt,log_rt,rt_valid,list_num,word_num,list_half,interval,verbalization,interval_label,verbalization_label
Попова_д_1,1,Попова_д,EG2,f,18,кровать,8.25259696598966,1,1,self,0,1,1,0.726,-0.320205264157341,True,4,1,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,ночь,10.1215986928889,1,0,partner,0,1,0,0.841,-0.17316361900918903,True,4,2,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,отдых,9.12925617768409,1,1,self,0,1,1,1.63,0.4885800148186709,True,4,3,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,тепло,7.4062808344878,1,0,partner,0,0,1,1.582,0.4586898693454622,True,4,4,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,подушка,8.08357910262921,1,1,self,0,1,1,1.221,0.1996701951285677,True,4,5,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,мечта,8.53225956218292,1,0,partner,0,0,1,1.136,0.1275133202989595,True,4,6,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,одеяло,7.97281954156205,1,1,self,0,1,1,1.388,0.3278638620846127,True,4,7,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,темнота,7.32271009353237,1,0,partner,0,0,1,0.858,-0.15315117949417478,True,4,8,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,звезды,6.94809137023272,1,1,self,0,0,0,1.84,0.6097655716208943,True,4,9,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,мягкость,,1,0,partner,0,0,1,2.405,0.8775499035577244,True,4,10,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,сон,,2,2,drm,1,1,0,1.627,0.48673782823690076,True,4,0,0,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,стол,10.6634501952256,1,1,self,0,1,1,1.571,0.4517123592734841,True,5,1,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,деревянный,9.16404389830872,1,0,partner,0,0,1,1.035,0.03440142671733232,True,5,2,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,сидеть,10.1439467163498,1,1,self,0,0,0,1.876,0.6291418505840328,True,5,3,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,кресло,9.98036401761074,1,0,partner,0,0,1,3.444,1.2366335865654843,True,5,4,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,мебель,9.15977871635753,1,1,self,0,1,1,0.934,-0.06827884075329438,True,5,5,1,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,спинка,11.5970062916951,1,0,partner,0,1,0,1.914,0.6491952930307625,True,5,6,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,ножки,9.95550601435996,1,1,self,0,0,0,3.076,1.1236300516433975,True,5,7,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,сидение,8.42966610566237,1,0,partner,0,0,1,1.688,0.5235443961737654,True,5,8,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,табурет,8.49002950242967,1,1,self,0,1,1,1.757,0.5636078092049601,True,5,9,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,обед,6.77037437329366,1,0,partner,0,0,1,1.537,0.42983246455645874,True,5,10,2,1,0,delayed,no_verb
Попова_д_1,1,Попова_д,EG2,f,18,стул,,2,2,drm,1,1,0,0.88,-0.12783337150988489,True,5,0,0,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,волны,10.2253084554615,1,1,self,0,0,0,0.683,-0.3812604194113469,True,1,1,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,пляж,8.69750509701115,1,0,partner,0,1,0,0.752,-0.28501895503229724,True,1,2,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,песок,9.04237722877322,1,1,self,0,0,0,0.745,-0.29437106060257756,True,1,3,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,вода,9.73324032842172,1,0,partner,0,0,1,0.634,-0.4557063245449111,True,1,4,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,спокойствие,6.90421485001336,1,1,self,0,0,0,0.461,-0.7743572359854884,True,1,5,1,1,0,delayed,no_verb
